date_of_data,facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,last_visit_date,inspection_visits,complaint_visits,other_visits,total_visits,all_visit_dates,inspection_visit_dates,inspect_type_a,inspect_type_b,other_visit_dates,other_type_a,other_type_b,geocoded_address,google_proper_address,latitude,longitude,location_type,partial_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197418528,CATALINA KID VENTURES,CATLINA KID VENTURES CORPORATION,"STEWART, RUTH ELIZABETH",(310) 510-1704,430 AVALON CANYON ROAD,AVALON,CA,90704,Los Angeles,30,37,Licensed,3/15/13,,3/15/13,0,0,1,1,3/15/13,,0,0,3/15/13,0,0,"430 AVALON CANYON ROAD, AVALON, CA 90704","430 Avalon Canyon Road, Avalon, CA 90704, USA",33.3397579,-118.3290965,RANGE_INTERPOLATED,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,197411767,GOOD SHEPHERD MONTESSORI SCHOOL,"MENDOZA, TRINA","SALCEDA, MAUREEN Y.",(310) 547-4986,1350 W. 25TH STREET,SAN PEDRO,CA,90731,Los Angeles,30,10,Licensed,12/21/04,,8/7/13,3,1,2,6,"08/07/2013, 08/28/2012, 05/04/2012, 05/04/2012, 10/19/2010, 02/26/2010","08/07/2013, 08/28/2012, 10/19/2010",0,2,"05/04/2012, 02/26/2010",0,2,"1350 W. 25TH STREET, SAN PEDRO, CA 90731","1350 West 25th Street, San Pedro, CA 90732, USA",33.7222149,-118.3070557,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197411766,GOOD SHEPHERD MONTESSORI SCHOOL,"MENDOZA, TRINA","SALCEDA, MAUREEN Y.",(310) 547-4986,1350 W. 25TH STREET,SAN PEDRO,CA,90731,Los Angeles,30,62,Licensed,10/20/04,,10/3/14,4,2,6,12,"10/03/2014, 09/26/2014, 09/05/2014, 08/15/2014, 08/30/2013, 08/07/2013, 12/11/2012, 08/09/2012, 09/16/2011, 07/27/2011, 04/21/2011, 10/19/2010","08/15/2014, 08/07/2013, 08/09/2012, 10/19/2010",1,8,"10/03/2014, 09/05/2014, 08/30/2013, 12/11/2012, 07/27/2011, 04/21/2011",0,3,"1350 W. 25TH STREET, SAN PEDRO, CA 90731","1350 West 25th Street, San Pedro, CA 90732, USA",33.7222149,-118.3070557,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191670411,OCEAN VIEW PRE-SCHOOL,"OCEAN VIEW BAPTIST CHURCH OF SAN PEDRO, CALIF.","HARGETT, BARBARA",(310) 514-1048,1900 SO. WESTERN AVE.,SAN PEDRO,CA,90732,Los Angeles,30,90,Licensed,9/26/95,,5/28/14,1,0,2,3,"05/28/2014, 05/16/2014, 10/11/2013",10/11/13,0,1,"05/16/2014, 05/28/2014",0,2,"1900 SO. WESTERN AVE., SAN PEDRO, CA 90732","1900 South Western Avenue, San Pedro, CA 90732, USA",33.7266714,-118.3106813,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,SCHOOL AGE DAY CARE CENTER,197418473,HIS KIDS CLUB,HARBOR INTERFAITH SERVICES INC.,"HAYSLET, TAHIA",(310) 831-0603,670 W. 9TH STREET,SAN PEDRO,CA,90731,Los Angeles,30,30,Licensed,10/22/12,,12/23/14,1,0,2,3,"12/23/2014, 12/11/2013, 09/14/2012",12/23/14,0,0,"12/11/2013, 09/14/2012",0,0,"670 W. 9TH STREET, SAN PEDRO, CA 90731","670 West 9th Street, San Pedro, CA 90731, USA",33.736303,-118.29163,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,197418325,MARY L. GIMENEZ-CAULDER CENTER,"HARBOR INTERFAITH SERVICES, INC.","HAYSLET, TAHIA",(310) 831-0603,670 W. 9TH ST.,SAN PEDRO,CA,90731,Los Angeles,30,20,Licensed,9/13/12,,12/23/14,1,0,2,3,"12/23/2014, 12/11/2013, 07/10/2012",12/23/14,0,0,"12/11/2013, 07/10/2012",0,0,"670 W. 9TH ST., SAN PEDRO, CA 90731","670 West 9th Street, San Pedro, CA 90731, USA",33.736303,-118.29163,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197418321,MARY L.GIMENEZ-CAULDER CENTER,"HARBOR INTERFAITH SERVICES, INC.","HAYSLET, TAHIA",(310) 831-0603,670 W. 9TH ST.,SAN PEDRO,CA,90731,Los Angeles,30,30,Licensed,9/13/12,,12/17/14,1,2,3,6,"12/17/2014, 12/11/2013, 11/08/2012, 11/08/2012, 07/19/2012, 07/10/2012",12/17/14,0,0,"12/11/2013, 07/19/2012, 07/10/2012",0,0,"670 W. 9TH ST., SAN PEDRO, CA 90731","670 West 9th Street, San Pedro, CA 90731, USA",33.736303,-118.29163,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191870556,CABRILLO AVENUE EARLY EDUCATION CENTER,LAUSD/EARLY CHILDHOOD EDUCATION,"JACKSON, JOSEMIE",(310) 832-2809,741 W. 8TH ST.,SAN PEDRO,CA,90731,Los Angeles,30,77,Licensed,5/9/85,,7/29/14,1,3,5,9,"07/29/2014, 07/29/2014, 09/13/2013, 05/01/2013, 08/18/2011, 08/18/2011, 08/01/2011, 06/10/2011, 04/22/2011",7/29/14,0,2,"07/29/2014, 09/13/2013, 08/18/2011, 06/10/2011, 04/22/2011",3,0,"741 W. 8TH ST., SAN PEDRO, CA 90731","741 West 8th Street, San Pedro, CA 90731, USA",33.7369578,-118.2933741,RANGE_INTERPOLATED,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197409583,MERRY GO ROUND PRE-SCHOOL,KIMBERLY HORN ENTERPRISES INCORPORATED,"HORN, KIMBERLY",(310) 833-0664,446 WEST 8TH STREET,SAN PEDRO,CA,90731,Los Angeles,30,40,Licensed,12/12/02,,6/5/13,1,0,1,2,"06/05/2013, 05/22/2013",5/22/13,0,2,6/5/13,0,0,"446 WEST 8TH STREET, SAN PEDRO, CA 90731","446 West 8th Street, San Pedro, CA 90731, USA",33.737193,-118.286709,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,SCHOOL AGE DAY CARE CENTER,197414493,ACHIEVE AFTER SCHOOL AND SUMMER PROGRAM,"COCHRAN, TREVINO","GASTON, NICOLE",(310) 732-1998,731 SO. AVERILL AVENUE,SAN PEDRO,CA,90710,Los Angeles,30,30,Licensed,9/6/07,,9/18/14,1,0,0,1,9/18/14,9/18/14,0,1,,0,0,"731 SO. AVERILL AVENUE, SAN PEDRO, CA 90710","Weymouth Corner Shopping Center, 731 South Averill Avenue, San Pedro, CA 90732, USA",33.737274,-118.308298,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
